ai_type,fintech_type
"Overall Bank Topics","Combination of algorithms"
"Overall Bank Topics","Deep Learning Algorithms"
"Overall Bank Topics","Deep Learning Algorithms"
"Overall Bank Topics","Deep Learning Algorithms"
"Overall Bank Topics","Deep Learning Algorithms"
"Overall Bank Topics","Deep Learning Algorithms"
"Overall Bank Topics","Combination of algorithms"
"Overall Bank Topics","Combination of algorithms"
"Overall Bank Topics","Ensemble Algorithms"
"Overall Bank Topics","Dimensionality Reduction Algorithms"
"Overall Bank Topics","Ensemble Algorithms"
"Overall Bank Topics","NA"
"Overall Bank Topics","Regression Algorithms"
"Overall Bank Topics","NA"
"Overall Bank Topics","Regression Algorithms"
"Overall Bank Topics","Regression Algorithms"
"Personal loans","Instance-based Algorithms"
"Personal loans","Regression Algorithms"
"Phishing","Artificial Neural Network Algorithms"
"Phishing","Artificial Neural Network Algorithms"
"Phishing","Association Rule Learning Algorithms"
"Phishing","Combination of algorithms"
"Phishing","Combination of algorithms"
"Phishing","Combination of algorithms"
"Phishing","Combination of algorithms"
"Phishing","Combination of algorithms"
"Phishing","Combination of algorithms"
"Phishing","Combination of algorithms"
"Phishing","Combination of algorithms"
"Phishing","Deep Learning Algorithms"
"Phishing","Artificial Neural Network Algorithms"
"Phishing","Combination of algorithms"
"Phishing","Instance-based Algorithms"
"Phishing","Instance-based Algorithms"
"Phishing","Combination of algorithms"
"Phishing","Deep Learning Algorithms"
"Phishing","Combination of algorithms"
"Phishing","NA"
"Phishing","NA"
"Phishing","NA"
"Phishing","NA"
"Phishing","NA"
"Phishing","NA"
"Phishing","NA"
"Phishing","NA"
"Phishing","NA"
"Phishing","NA"
"Phishing","Regression Algorithms"
"Phishing","Regression Algorithms"
"Phishing","Regression Algorithms"
"Phishing","Deep Learning Algorithms"
"Phishing","Regression Algorithms"
"Phishing","Reinforcement learning"
"Private banking","Artificial Neural Network Algorithms"
"Private banking","Combination of algorithms"
"Stock brokerage","Artificial Neural Network Algorithms"
"Stock brokerage","Clustering Algorithms"
"Stock brokerage","Clustering Algorithms"
"Stock brokerage","Clustering Algorithms"
"Stock brokerage","Combination of algorithms"
"Stock brokerage","Combination of algorithms"
"Stock brokerage","Deep Learning Algorithms"
"Stock brokerage","Deep Learning Algorithms"
"Stock brokerage","Genetic programming"
"Stock brokerage","Genetic programming"
"Stock brokerage","Artificial Neural Network Algorithms"
"Stock brokerage","Clustering Algorithms"
"Stock brokerage","Regression Algorithms"
"Stock brokerage","Combination of algorithms"
"Stock brokerage","Deep Learning Algorithms"
"Stock brokerage","Deep Learning Algorithms"
"Stock brokerage","Regression Algorithms"
"Stock brokerage","Clustering Algorithms"
"Stock brokerage","Deep Learning Algorithms"
"Stock brokerage","Regression Algorithms"
"Stock brokerage","Reinforcement learning"
"Trade finance","Combination of algorithms"
"Trade finance","Deep Learning Algorithms"
"User trust","Genetic programming"
"Wealth management","NA"
"Wealth management","Deep Learning Algorithms"
